Time,FCC.TIC1303.PV.csv,FCC.PI1301.PV.csv,FCC.FIC1311.PV.csv,FCC.TIC1402.PV.csv,FCC.TIC1402-1.PV.csv,FCC.FI1400.PV.csv,FCC.FIC1402-1.PV.csv,FCC.FVC1402.PV.csv,FCC.TI1419.PV.csv,FCC.LIC1404.PV.csv,FCC.TI1418.PV.csv,FCC.PDI1414.PV.csv,wdqy
2021/2/9 17:00,126.2379,0.1934284,0,167.4253,167.3037,0.3113478,83.06738,83.04562,162.1725,48.00609,161.8969,110.1711,197
2021/2/10 7:00,0,0,0,0,0,0,0,0,0,0,0,0,197
2021/2/10 17:00,0,0,0,0,0,0,0,0,0,0,0,0,198.5
2021/2/11 7:00,127.8716,0.1940542,0,168.9989,169.0347,0.3293586,79.09765,79.13528,163.1747,45.83319,162.9492,0,197
2021/2/11 17:00,126.482,0.1938218,0,169.2779,169.0275,0.3293586,78.98968,78.87173,163.4253,46.47467,163.3,110.1663,197
2021/2/12 1:00,0,0,0,0,0,0,0,0,0,0,0,0,191.5
2021/2/12 7:00,0,0,0,0,0,0,0,0,0,0,0,0,194
2021/2/12 17:00,0,0,0,0,0,0,0,0,0,0,0,0,197
2021/2/13 7:00,129.2576,0.1927131,0,170.2006,170.1576,0.3293586,78.08618,77.82581,164.227,48.31361,0,110.1663,195.5
2021/2/13 17:00,130.4977,0.1932317,0,169.4138,169.3995,0.3464343,78.04813,77.94598,164.4025,62.4147,163.9765,110.1592,195.5
2021/2/14 7:00,0,0,0,0,0,0,0,0,0,0,0,0,197
2021/2/14 17:00,0,0,0,0,0,0,0,0,0,0,0,0,197
2021/2/15 7:00,129.1284,0.1912408,0,168.9131,169.0275,0.3293586,78.09692,78.04066,163.1497,50.46689,162.9242,110.1687,197.5
2021/2/15 17:00,131.3675,0.1909488,0,170.4294,170.3937,0,76.8291,76.50896,164.5777,50.8073,0,0,200.5
2021/2/16 7:00,0,0,0,0,0,0,0,0,0,0,0,0,198.5
2021/2/16 17:00,0,0,0,0,0,0,0,0,0,0,0,0,199.5
2021/2/17 7:00,131.5213,0.1927727,0,168.6699,168.6699,0,81.49474,81.57343,162.849,48.84227,162.6235,110.1687,198
2021/2/17 17:00,129.6368,0.1929456,0,168.2979,168.2908,0.3464343,81.73998,81.78055,163.1747,62.16017,162.9742,0,198
2021/2/18 7:00,0,0,0,0,0,0,0,0,0,0,0,0,195.5
2021/2/18 17:00,0,0,0,0,0,0,0,0,0,0,0,0,198.5
2021/2/19 7:00,129.7601,0.1927906,0,168.9417,168.9059,0,81.89359,81.88946,162.7738,48.31491,162.7989,0,197
2021/2/19 17:00,130.8185,0.1927727,0,170.408,170.408,0.3464343,82.12231,82.07999,164.4275,48.8501,0,110.1592,197
2021/2/20 1:00,0,0,0,0,0,0,0,0,0,0,0,0,197
2021/2/20 7:00,0,0,0,0,0,0,0,0,0,0,0,0,197
2021/2/20 17:00,0,0,0,0,0,0,0,0,0,0,0,0,200
2021/2/21 7:00,131.118,0.1927727,0,169.2922,169.1706,0,78.17216,78.15276,163.325,51.31365,0,0,199
2021/2/21 17:00,129.6125,0.1925879,0,168.6913,168.8129,0.3464343,78.06321,78.02911,163.0244,52.82319,162.8991,110.1592,197
2021/2/21 21:00,130.7338,0.1933092,0,168.4267,168.4267,0.3293586,78.04842,78.18804,162.4982,52.44502,0,110.1663,197.5
2021/2/22 7:00,0,0,0,0,0,0,0,0,0,0,0,0,192.5
2021/2/22 17:00,0,0,0,0,0,0,0,0,0,0,0,0,194
2021/2/23 7:00,130.3815,0.1936012,0,171.4308,171.4237,0.3464343,76.83585,76.85155,165.7053,49.87622,0,0,193.5
2021/2/23 17:00,132.2579,0.1929694,0,171.5739,171.5596,0,77.02309,77.14793,165.5549,50.96606,165.3044,110.1615,198
2021/2/24 7:00,0,0,0,0,0,0,0,0,0,0,0,0,198
2021/2/24 17:00,0,0,0,0,0,0,0,0,0,0,0,0,197
2021/2/25 7:00,130.251,0.1932019,0,171.6669,171.6669,0.3464343,76.97449,77.11359,165.5299,49.53266,0,110.1663,197
2021/2/25 17:00,130.7495,0.1933032,0,170.5439,170.5367,0,78.12016,78.16757,164.703,50.3971,0,0,197.5
2021/2/26 7:00,0,0,0,0,0,0,0,0,0,0,0,0,199.5
2021/2/26 17:00,0,0,0,0,0,0,0,0,0,0,0,0,198.5
2021/2/27 7:00,130.4776,0.1934641,0,0,169.2779,0,78.23693,78.12337,0,48.40343,163.1246,110.1735,197.5
2021/2/27 17:00,130.6422,0.1931303,0,169.2993,169.3136,0.362707,77.01363,76.97861,163.3,47.86057,163.3,0,197
2021/2/28 1:00,0,0,0,0,0,0,0,0,0,0,0,0,198
2021/2/28 7:00,0,0,0,0,0,0,0,0,0,0,0,0,198
2021/2/28 17:00,0,0,0,0,0,0,0,0,0,0,0,0,197
2021/3/1 7:00,131.9013,0.1929515,0,169.4138,169.5354,0.3113478,79.90797,79.95522,163.4754,49.20755,163.325,110.1687,200
