tag,collect_time,value,org_code
FCC.1LUSHUI.PH,2020-07-28 17:00:00,9.7,440100010001001
FCC.1LUSHUI.PH,2020-07-29 07:00:00,9.8,440100010001001
FCC.1LUSHUI.PH,2020-07-29 17:00:00,9.8,440100010001001
FCC.1LUSHUI.PH,2020-07-30 07:00:00,11,440100010001001
FCC.1LUSHUI.PH,2020-07-30 17:00:00,11,440100010001001
FCC.1LUSHUI.PH,2020-07-31 07:00:00,10.8,440100010001001
FCC.1LUSHUI.PH,2020-07-31 17:00:00,10.8,440100010001001
FCC.1LUSHUI.PH,2020-08-01 07:00:00,9.7,440100010001001
FCC.1LUSHUI.PH,2020-08-01 17:00:00,9.7,440100010001001
FCC.1LUSHUI.PH,2020-08-02 07:00:00,10.2,440100010001001
FCC.1LUSHUI.PH,2020-08-02 17:00:00,9.7,440100010001001
FCC.1LUSHUI.PH,2020-08-03 07:00:00,10,440100010001001
FCC.1LUSHUI.PH,2020-08-03 17:00:00,9.8,440100010001001
FCC.1LUSHUI.PH,2020-08-04 07:00:00,10,440100010001001
FCC.1LUSHUI.PH,2020-08-04 17:00:00,9.8,440100010001001
FCC.1LUSHUI.PH,2020-08-05 07:00:00,10.8,440100010001001
FCC.1LUSHUI.PH,2020-08-05 17:00:00,9.4,440100010001001
FCC.1LUSHUI.PH,2020-08-06 07:00:00,10.4,440100010001001
FCC.1LUSHUI.PH,2020-08-06 17:00:00,9.8,440100010001001
FCC.1LUSHUI.PH,2020-08-07 07:00:00,9.8,440100010001001
FCC.1LUSHUI.PH,2020-08-07 17:00:00,10.2,440100010001001
FCC.1LUSHUI.PH,2020-08-08 07:00:00,10,440100010001001
FCC.1LUSHUI.PH,2020-08-08 17:00:00,9.7,440100010001001
FCC.1LUSHUI.PH,2020-08-09 07:00:00,10,440100010001001
FCC.1LUSHUI.PH,2020-08-09 17:00:00,9.7,440100010001001
FCC.1LUSHUI.PH,2020-08-10 07:00:00,10.5,440100010001001
FCC.1LUSHUI.PH,2020-08-10 17:00:00,9.9,440100010001001
FCC.1LUSHUI.PH,2020-08-11 07:00:00,9.9,440100010001001
FCC.1LUSHUI.PH,2020-08-11 17:00:00,9.7,440100010001001
FCC.1LUSHUI.PH,2020-08-12 07:00:00,9.7,440100010001001
FCC.1LUSHUI.PH,2020-08-12 17:00:00,10.9,440100010001001
FCC.1LUSHUI.PH,2020-08-13 07:00:00,10.8,440100010001001
FCC.1LUSHUI.PH,2020-08-13 17:00:00,10.2,440100010001001
FCC.1LUSHUI.PH,2020-08-14 07:00:00,10.4,440100010001001
FCC.1LUSHUI.PH,2020-08-14 17:00:00,9.8,440100010001001
FCC.1LUSHUI.PH,2020-08-15 07:00:00,10.1,440100010001001
FCC.1LUSHUI.PH,2020-08-15 17:00:00,10,440100010001001
FCC.1LUSHUI.PH,2020-08-16 07:00:00,10.2,440100010001001
FCC.1LUSHUI.PH,2020-08-16 17:00:00,10,440100010001001
FCC.1LUSHUI.PH,2020-08-17 07:00:00,10.4,440100010001001
FCC.1LUSHUI.PH,2020-08-17 17:00:00,9.9,440100010001001
FCC.1LUSHUI.PH,2020-08-18 07:00:00,9.8,440100010001001
FCC.1LUSHUI.PH,2020-08-18 17:00:00,9.9,440100010001001
FCC.1LUSHUI.PH,2020-08-19 07:00:00,10.3,440100010001001
FCC.1LUSHUI.PH,2020-08-19 17:00:00,10,440100010001001
FCC.1LUSHUI.PH,2020-08-20 07:00:00,10.1,440100010001001
FCC.1LUSHUI.PH,2020-08-20 17:00:00,10.1,440100010001001
FCC.1LUSHUI.PH,2020-08-21 07:00:00,10.3,440100010001001
FCC.1LUSHUI.PH,2020-08-21 17:00:00,9.6,440100010001001
FCC.1LUSHUI.PH,2020-08-22 07:00:00,10,440100010001001
FCC.1LUSHUI.PH,2020-08-22 17:00:00,10,440100010001001
FCC.1LUSHUI.PH,2020-08-23 07:00:00,9.7,440100010001001
FCC.1LUSHUI.PH,2020-08-23 17:00:00,9.8,440100010001001
FCC.1LUSHUI.PH,2020-08-24 07:00:00,9.8,440100010001001
FCC.1LUSHUI.PH,2020-08-24 17:00:00,9.8,440100010001001
FCC.1LUSHUI.PH,2020-08-25 07:00:00,10,440100010001001
FCC.1LUSHUI.PH,2020-08-25 17:00:00,9.6,440100010001001
FCC.1LUSHUI.PH,2020-08-26 07:00:00,10,440100010001001
FCC.1LUSHUI.PH,2020-08-26 17:00:00,9.7,440100010001001
FCC.1LUSHUI.PH,2020-08-27 07:00:00,9.9,440100010001001
FCC.1LUSHUI.PH,2020-08-27 17:00:00,9.8,440100010001001
FCC.1LUSHUI.PH,2020-08-28 07:00:00,9.7,440100010001001
FCC.1LUSHUI.PH,2020-08-28 17:00:00,9.7,440100010001001
FCC.1LUSHUI.PH,2020-08-29 07:00:00,9.7,440100010001001
FCC.1LUSHUI.PH,2020-08-29 17:00:00,10,440100010001001
FCC.1LUSHUI.PH,2020-08-30 07:00:00,10,440100010001001
FCC.1LUSHUI.PH,2020-08-30 17:00:00,9.8,440100010001001
FCC.1LUSHUI.PH,2020-08-31 07:00:00,10,440100010001001
FCC.1LUSHUI.PH,2020-08-31 17:00:00,9.8,440100010001001
FCC.1LUSHUI.PH,2020-09-01 07:00:00,9.9,440100010001001
FCC.1LUSHUI.PH,2020-09-01 17:00:00,9.8,440100010001001
FCC.1LUSHUI.PH,2020-09-02 07:00:00,9.5,440100010001001
FCC.1LUSHUI.PH,2020-09-02 17:00:00,9.7,440100010001001
FCC.1LUSHUI.PH,2020-09-03 07:00:00,9.8,440100010001001
FCC.1LUSHUI.PH,2020-09-03 17:00:00,9.6,440100010001001
FCC.1LUSHUI.PH,2020-09-04 07:00:00,9.9,440100010001001
FCC.1LUSHUI.PH,2020-09-04 17:00:00,9.7,440100010001001
FCC.1LUSHUI.PH,2020-09-05 07:00:00,10,440100010001001
FCC.1LUSHUI.PH,2020-09-05 17:00:00,9.8,440100010001001
FCC.1LUSHUI.PH,2020-09-06 07:00:00,9.8,440100010001001
FCC.1LUSHUI.PH,2020-09-06 17:00:00,10,440100010001001
FCC.1LUSHUI.PH,2020-09-07 07:00:00,9.8,440100010001001
FCC.1LUSHUI.PH,2020-09-07 17:00:00,10.1,440100010001001
FCC.1LUSHUI.PH,2020-09-08 07:00:00,9.9,440100010001001
FCC.1LUSHUI.PH,2020-09-08 17:00:00,10.1,440100010001001
FCC.1LUSHUI.PH,2020-09-09 07:00:00,10.2,440100010001001
FCC.1LUSHUI.PH,2020-09-09 17:00:00,9.9,440100010001001
FCC.1LUSHUI.PH,2020-09-10 07:00:00,11.5,440100010001001
FCC.1LUSHUI.PH,2020-09-10 17:00:00,10.8,440100010001001
FCC.1LUSHUI.PH,2020-09-11 07:00:00,11.5,440100010001001
FCC.1LUSHUI.PH,2020-09-11 17:00:00,10.6,440100010001001
FCC.1LUSHUI.PH,2020-09-12 07:00:00,10.2,440100010001001
FCC.1LUSHUI.PH,2020-09-12 17:00:00,10.4,440100010001001
FCC.1LUSHUI.PH,2020-09-13 07:00:00,10.5,440100010001001
FCC.1LUSHUI.PH,2020-09-13 17:00:00,10.2,440100010001001
FCC.1LUSHUI.PH,2020-09-14 07:00:00,10.1,440100010001001
FCC.1LUSHUI.PH,2020-09-14 17:00:00,10.4,440100010001001
FCC.1LUSHUI.PH,2020-09-15 07:00:00,10.2,440100010001001
FCC.1LUSHUI.PH,2020-09-15 17:00:00,10,440100010001001
FCC.1LUSHUI.PH,2020-09-16 07:00:00,10.4,440100010001001
FCC.1LUSHUI.PH,2020-09-16 17:00:00,9.2,440100010001001
FCC.1LUSHUI.PH,2020-09-17 07:00:00,9.8,440100010001001
FCC.1LUSHUI.PH,2020-09-17 17:00:00,9.8,440100010001001
FCC.1LUSHUI.PH,2020-09-18 07:00:00,10.3,440100010001001
FCC.1LUSHUI.PH,2020-09-18 17:00:00,10.1,440100010001001
FCC.1LUSHUI.PH,2020-09-19 07:00:00,10.9,440100010001001
FCC.1LUSHUI.PH,2020-09-19 17:00:00,11,440100010001001
FCC.1LUSHUI.PH,2020-09-20 07:00:00,11,440100010001001
FCC.1LUSHUI.PH,2020-09-20 17:00:00,10,440100010001001
FCC.1LUSHUI.PH,2020-09-21 07:00:00,10.6,440100010001001
