序号,Name,TagNo,仪表描述,单位,量程上限,量程下限,SourceTag,CollectorName
113,HLU1_LIC3117_PV,,D3106液位控制,%,100,0,LIC3117.PV,RDI_HLU1
114,HLU1_LIC3118_PV,,D3106界位控制,%,100,0,LIC3118.PV,RDI_HLU1
115,HLU1_LIC3201_PV,,脱气塔底液位控制,%,100,0,LIC3201.PV,RDI_HLU1
116,HLU1_LIC3202_PV,,D-3201液位控制,%,100,0,LIC3202.PV,RDI_HLU1
117,HLU1_LIC3203_PV,,D-3201界位控制,%,100,0,LIC3203.PV,RDI_HLU1
118,HLU1_LIC3204_PV,,分馏塔底液位控制,%,100,0,LIC3204.PV,RDI_HLU1
119,HLU1_LIC3205_PV,,柴油塔底液位控制,%,100,0,LIC3205.PV,RDI_HLU1
120,HLU1_LIC3206_PV,,航煤塔底液位控制,%,100,0,LIC3206.PV,RDI_HLU1
121,HLU1_LIC3207_PV,,D-3202液位控制,%,100,0,LIC3207.PV,RDI_HLU1
122,HLU1_LIC3208_PV,,D-3202界位控制,%,100,0,LIC3208.PV,RDI_HLU1
123,HLU1_LIC3211_PV,,D-3206液位控制,%,100,0,LIC3211.PV,RDI_HLU1
124,HLU1_LIC3212_PV,,石脑油塔底液位控制,%,100,0,LIC3212.PV,RDI_HLU1
125,HLU1_LIC3213_PV,,D-3203液位控制,%,100,0,LIC3213.PV,RDI_HLU1
126,HLU1_LIC3214_PV,,D-3203界位控制,%,100,0,LIC3214.PV,RDI_HLU1
127,HLU1_LIC3305_PV,,D3303液位调节,%,100,0,LIC3305.PV,RDI_HLU1
128,HLU1_LIC3410_PV,,D3410液位控制,%,100,0,LIC3410.PV,RDI_HLU1
129,HLU1_LIC3501_PV,,含硫污水罐液位控制,%,100,0,LIC3501.PV,RDI_HLU1
130,HLU1_LICA3241B_PV,,D-3207液位,%,99999,-99,LICA3241B.PV,RDI_HLU1
131,HLU1_PDI3102_PV,,反冲洗过滤器差压指示,MPA,1,-10,PDI3102.PV,RDI_HLU1
132,HLU1_PDI3111_PV,,R3101床层差压指示,MPA,1.6,0,PDI3111.PV,RDI_HLU1
133,HLU1_PDI3114_PV,,R3102床层差压指示,MPA,1.6,0,PDI3114.PV,RDI_HLU1
134,HLU1_PDI3115_PV,,R3102出口压力,MPA,1.6,0,PDI3115.PV,RDI_HLU1
135,HLU1_PDIA3243_PV,,,,99999,-99,PDIA3243.PV,RDI_HLU1
136,HLU1_PI1001_PV,,高压瓦斯管网压力指示,MPA,0.6,0,PI1001.PV,RDI_HLU1
137,HLU1_PI3107_PV,,F3101燃料气支管压力指示,MPA,1,0,PI3107.PV,RDI_HLU1
138,HLU1_PI3108_PV,,F3101燃料气支管压力指示,MPA,1.6,0,PI3108.PV,RDI_HLU1
139,HLU1_PI3109_PV,,F3101燃料气支管压力指示,MPA,1,0,PI3109.PV,RDI_HLU1
140,HLU1_PI3110_PV,,R3101入口压力指示,MPA,19,0,PI3110.PV,RDI_HLU1
141,HLU1_PI3112_PV,,R3101出口压力指示,MPA,19,0,PI3112.PV,RDI_HLU1
142,HLU1_PI3113_PV,,R3102入口压力指示,MPA,19,0,PI3113.PV,RDI_HLU1
143,HLU1_PI3116_PV,,R3102出口压力指示,MPA,19,0,PI3116.PV,RDI_HLU1
144,HLU1_PI3117_PV,,D3103压力指示,MPA,19,0,PI3117.PV,RDI_HLU1
145,HLU1_PI3118_PV,,D3104顶出口压力指示,MPA,5,0,PI3118.PV,RDI_HLU1
146,HLU1_PI3120_PV,,D3105顶压力指示,MPA,19,0,PI3120.PV,RDI_HLU1
147,HLU1_PI3123_PV,,K3102入口压力指示,MPA,19,0,PI3123.PV,RDI_HLU1
148,HLU1_PI3124_PV,,K3102出口压力指示,MPA,21,0,PI3124.PV,RDI_HLU1
149,HLU1_PI3159_PV,,汽轮机出口压力指示报警,MPA,1.6,0,PI3159.PV,RDI_HLU1
150,HLU1_PI3180_PV,,化工氢进装置压力指示,MPA,300,0,PI3180.PV,RDI_HLU1
151,HLU1_PI3201_PV,,脱气塔顶压力指示,MPA,1.6,0,PI3201.PV,RDI_HLU1
152,HLU1_PI3203_PV,,F3201进料一压力指示,MPA,2.5,0,PI3203.PV,RDI_HLU1
153,HLU1_PI3204_PV,,F3201进料二压力指示,MPA,2.5,0,PI3204.PV,RDI_HLU1
154,HLU1_PI3205_PV,,F3201进料三压力指示,MPA,2.5,0,PI3205.PV,RDI_HLU1
155,HLU1_PI3206_PV,,F3201进料四压力指示,MPA,2.5,0,PI3206.PV,RDI_HLU1
156,HLU1_PI3207_PV,,F3201出料一压力指示,MPA,0.6,0,PI3207.PV,RDI_HLU1
157,HLU1_PI3208_PV,,F3201出料二压力指示,MPA,0.6,0,PI3208.PV,RDI_HLU1
158,HLU1_PI3209_PV,,F3201出料三压力指示,MPA,0.6,0,PI3209.PV,RDI_HLU1
159,HLU1_PI3210_PV,,F3201出料四压力指示,MPA,0.6,0,PI3210.PV,RDI_HLU1
160,HLU1_PI3211_PV,,F3201燃料气总管压力指示,MPA,1,0,PI3211.PV,RDI_HLU1
161,HLU1_PI3212_PV,,F3201长明灯阻火器后压力指示,MPA,1,0,PI3212.PV,RDI_HLU1
162,HLU1_PI3214_PV,,C3204顶出口压力指示,MPA,0.6,0,PI3214.PV,RDI_HLU1
163,HLU1_PI3215_PV,,C3203顶出口压力指示,MPA,0.6,0,PI3215.PV,RDI_HLU1
164,HLU1_PI3216_PV,,D3202顶压力指示,MPA,0.4,0,PI3216.PV,RDI_HLU1
165,HLU1_PI3244_PV,,,,99999,-99,PI3244.PV,RDI_HLU1
166,HLU1_PI3401_PV,,低压氮气压力指示,MPA,1.6,0,PI3401.PV,RDI_HLU1
167,HLU1_PI3402_PV,,10MPa氮气压力指示,MPA,16,0,PI3402.PV,RDI_HLU1
168,HLU1_PI3403_PV,,净化风压力指示,MPA,0.6,0,PI3403.PV,RDI_HLU1
169,HLU1_PI3404_PV,,非净化风压力指示,MPA,0.6,0,PI3404.PV,RDI_HLU1
170,HLU1_PI3406_PV,,3.3MPa蒸汽入装置压力指示,MPA,4,0,PI3406.PV,RDI_HLU1
171,HLU1_PI3409_PV,,1.0MPa蒸汽管网压力指示,MPA,1.6,0,PI3409.PV,RDI_HLU1
172,HLU1_PI3412_PV,,采暖热水进装置压力指示,MPA,1,0,PI3412.PV,RDI_HLU1
173,HLU1_PI3413_PV,,除盐水入装置压力指示,MPA,100,-20,PI3413.PV,RDI_HLU1
174,HLU1_PI3414_PV,,D3409压力指示,MPA,10,-10,PI3414.PV,RDI_HLU1
175,HLU1_PI3415_PV,,循环冷水进装置压力指示,MPA,0.6,0,PI3415.PV,RDI_HLU1
176,HLU1_PI3420_PV,,循环热水出装置压力指示,MPA,0.6,0,PI3420.PV,RDI_HLU1
177,HLU1_PI3425_PV,,0.5MPA氮气界区压力,MPA,1.6,0,PI3425.PV,RDI_HLU1
178,HLU1_PI3430_PV,,D3410顶压力指示,MPA,0.4,0,PI3430.PV,RDI_HLU1
179,HLU1_PI3503_PV,,F3101烟道压力指示,KPA,10,-10,PI3503.PV,RDI_HLU1
180,HLU1_PI3504_PV,,F3101烟道压力指示,KPA,10,-10,PI3504.PV,RDI_HLU1
181,HLU1_PI3505_PV,,F3101烟道压力指示,PA,10,-100,PI3505.PV,RDI_HLU1
182,HLU1_PI3506_PV,,F3101烟道压力指示,PA,10,-100,PI3506.PV,RDI_HLU1
183,HLU1_PI3507_PV,,F3101烟道压力指示,PA,10,-100,PI3507.PV,RDI_HLU1
184,HLU1_PI3508_PV,,F3201烟道压力指示,KPA,10,-10,PI3508.PV,RDI_HLU1
185,HLU1_PI3509_PV,,预热器空气入口压力指示,KPA,25,-10,PI3509.PV,RDI_HLU1
186,HLU1_PI3510_PV,,预热器空气入口压力指示,KPA,10,-10,PI3510.PV,RDI_HLU1
187,HLU1_PI3511_PV,,预热器空气出口压力指示,KPA,0,-2.5,PI3511.PV,RDI_HLU1
188,HLU1_PI3512_PV,,预热器空气出口压力指示,KPA,10,-10,PI3512.PV,RDI_HLU1
189,HLU1_PIC3105_PV,,D3102顶压力分程调节,MPA,1.6,0,PIC3105.PV,RDI_HLU1
190,HLU1_PIC3121_PV,,D3106顶压力调节,MPA,5,0,PIC3121.PV,RDI_HLU1
191,HLU1_PIC3122_PV,,反应系统压力控制,MPA,19,0,PIC3122.PV,RDI_HLU1
192,HLU1_PIC3125_PV,,D3109入口压力控制,MPA,5,0,PIC3125.PV,RDI_HLU1
193,HLU1_PIC3141_PV,,D3108顶压力控制,MPA,0.4,0,PIC3141.PV,RDI_HLU1
194,HLU1_PIC3202_PV,,D3101顶压力调节,MPA,1,0,PIC3202.PV,RDI_HLU1
195,HLU1_PIC3213_PV,,分馏塔顶压力控制,MPA,0.6,0,PIC3213.PV,RDI_HLU1
196,HLU1_PIC3217_PV,,D3206顶压力分程调节,MPA,1,0,PIC3217.PV,RDI_HLU1
197,HLU1_PIC3218_PV,,C-3205塔顶压力,MPA,1,0,PIC3218.PV,RDI_HLU1
198,HLU1_PIC3219_PV,,气态烃至管F3201压力调节,MPA,1,0,PIC3219.PV,RDI_HLU1
199,HLU1_PIC3303_PV,,D3303蒸汽出口压力调节,MPA,1,0,PIC3303.PV,RDI_HLU1
200,HLU1_PIC3405_PV,,高压燃料气压力,MPA,0.6,0,PIC3405.PV,RDI_HLU1
201,HLU1_PIC3407_PV,,0.35MPa蒸汽去F3201压力调节(与FIC3410串级的主回路),MPA,0.6,0,PIC3407.PV,RDI_HLU1
