序号,Name,TagNo,仪表描述,单位,量程上限,量程下限,SourceTag,CollectorName
509,HLU1_TXI3162A_PV,,R3102表面温度指示,DEGC,600,0,TXI3162A.PV,RDI_HLU1
510,HLU1_TXI3162B_PV,,R3102表面温度指示,DEGC,600,0,TXI3162B.PV,RDI_HLU1
511,HLU1_TXI3163A_PV,,R3102表面温度指示,DEGC,600,0,TXI3163A.PV,RDI_HLU1
512,HLU1_TXI3163B_PV,,R3102表面温度指示,DEGC,600,0,TXI3163B.PV,RDI_HLU1
513,HLU1_TXI3163C_PV,,R3102表面温度指示,DEGC,600,0,TXI3163C.PV,RDI_HLU1
514,HLU1_TXI3163D_PV,,R3102表面温度指示,DEGC,600,0,TXI3163D.PV,RDI_HLU1
515,HLU1_TXI3164A_PV,,R3102表面温度指示,DEGC,600,0,TXI3164A.PV,RDI_HLU1
516,HLU1_TXI3164B_PV,,R3102表面温度指示,DEGC,600,0,TXI3164B.PV,RDI_HLU1
517,HLU1_TXI3165A_PV,,R3102表面温度指示,DEGC,600,0,TXI3165A.PV,RDI_HLU1
518,HLU1_TXI3165B_PV,,R3102表面温度指示,DEGC,600,0,TXI3165B.PV,RDI_HLU1
519,HLU1_TXI3165C_PV,,R3102表面温度指示,DEGC,600,0,TXI3165C.PV,RDI_HLU1
520,HLU1_TXI3165D_PV,,R3102表面温度指示,DEGC,600,0,TXI3165D.PV,RDI_HLU1
521,HLU1_TXI3166A_PV,,R3102表面温度指示,DEGC,600,0,TXI3166A.PV,RDI_HLU1
522,HLU1_TXI3166B_PV,,R3102表面温度指示,DEGC,600,0,TXI3166B.PV,RDI_HLU1
523,HLU1_TXI3167A_PV,,R3102表面温度指示,DEGC,600,0,TXI3167A.PV,RDI_HLU1
524,HLU1_TXI3167B_PV,,R3102表面温度指示,DEGC,600,0,TXI3167B.PV,RDI_HLU1
525,HLU1_TXI3167C_PV,,R3102表面温度指示,DEGC,600,0,TXI3167C.PV,RDI_HLU1
526,HLU1_TXI3167D_PV,,R3102表面温度指示,DEGC,600,0,TXI3167D.PV,RDI_HLU1
527,HLU1_TXI3168_PV,,R3102表面温度指示,DEGC,600,0,TXI3168.PV,RDI_HLU1
528,HLU1_TXI3169A_PV,,R3102表面温度指示,DEGC,600,0,TXI3169A.PV,RDI_HLU1
529,HLU1_TXI3169B_PV,,R3102表面温度指示,DEGC,600,0,TXI3169B.PV,RDI_HLU1
530,HLU1_TXI3169C_PV,,R3102表面温度指示,DEGC,600,0,TXI3169C.PV,RDI_HLU1
531,HLU1_TXI3170_PV,,R3102表面温度指示,DEGC,600,0,TXI3170.PV,RDI_HLU1
532,HLU1_TXI3514_PV,,F3101炉管表面温度指示,DEGC,600,0,TXI3514.PV,RDI_HLU1
533,HLU1_TXI3515_PV,,F3101炉管表面温度指示,DEGC,600,0,TXI3515.PV,RDI_HLU1
534,HLU1_TXI3516_PV,,F3101炉管表面温度指示,DEGC,600,0,TXI3516.PV,RDI_HLU1
535,HLU1_TXI3517_PV,,F3101炉管表面温度指示,DEGC,600,0,TXI3517.PV,RDI_HLU1
536,HLU1_TXI3518_PV,,F3101炉管表面温度指示,DEGC,600,0,TXI3518.PV,RDI_HLU1
537,HLU1_TXI3519_PV,,F3101炉管表面温度指示,DEGC,600,0,TXI3519.PV,RDI_HLU1
538,HLU1_TXI3520_PV,,F3101炉管表面温度指示,DEGC,600,0,TXI3520.PV,RDI_HLU1
539,HLU1_TXI3521_PV,,F3101炉管表面温度指示,DEGC,600,0,TXI3521.PV,RDI_HLU1
540,HLU1_TXI3522_PV,,F3101炉管表面温度指示,DEGC,600,0,TXI3522.PV,RDI_HLU1
541,HLU1_TXI3523_PV,,F3101炉管表面温度指示,DEGC,600,0,TXI3523.PV,RDI_HLU1
542,HLU1_TXI3524_PV,,F3101炉管表面温度指示,DEGC,600,0,TXI3524.PV,RDI_HLU1
543,HLU1_TXI3525_PV,,F3101炉管表面温度指示,DEGC,600,0,TXI3525.PV,RDI_HLU1
544,HLU1_FI3304_PV,,D3303出口蒸汽流量,TONNE/HR,5,0,FI3304.PV,RDI_HLU1
545,HLU1_FIQ3304_PV,,D3303出口蒸汽流量测量,TONNE/HR,5,0,FIQ3304.PV,RDI_HLU1
